Data,Qt_almoco,Qt_jantar
2016-01-04,364.0,294.0
2016-01-05,489.0,363.0
2016-01-06,522.0,401.0
2016-01-07,514.0,349.0
2016-01-08,409.0,218.0
2016-01-11,462.0,372.0
2016-01-12,575.0,435.0
2016-01-13,525.0,388.0
2016-01-14,545.0,341.0
2016-01-15,434.0,261.0
2016-01-18,424.0,371.0
2016-01-19,499.0,391.0
2016-01-20,501.0,398.0
2016-01-21,525.0,382.0
2016-01-22,452.0,265.0
2016-01-25,484.0,332.0
2016-01-26,514.0,385.0
2016-01-27,514.0,343.0
2016-01-28,535.0,325.0
2016-01-29,412.0,219.0
2016-01-30,0.0,0.0
2016-02-01,404.0,302.0
2016-02-02,504.0,328.0
2016-02-03,427.0,324.0
2016-02-04,462.0,258.0
2016-02-05,285.0,116.0
2016-02-08,0.0,0.0
2016-02-09,0.0,0.0
2016-02-10,0.0,0.0
2016-02-11,132.0,97.0
2016-02-12,153.0,82.0
2016-02-15,189.0,147.0
2016-02-16,266.0,150.0
2016-02-17,250.0,123.0
2016-02-18,216.0,100.0
2016-02-19,205.0,74.0
2016-03-01,0.0,0.0
2016-03-02,0.0,0.0
2016-03-03,0.0,0.0
2016-03-04,0.0,0.0
2016-03-07,0.0,0.0
2016-03-08,0.0,0.0
2016-03-09,0.0,0.0
2016-03-10,0.0,0.0
2016-03-11,0.0,0.0
2016-03-14,585.0,388.0
2016-03-15,733.0,464.0
2016-03-16,716.0,470.0
2016-03-17,727.0,452.0
2016-03-18,620.0,312.0
2016-03-21,654.0,498.0
2016-03-22,752.0,449.0
2016-03-23,668.0,337.0
2016-03-24,0.0,0.0
2016-03-25,0.0,0.0
2016-03-28,630.0,487.0
2016-03-29,803.0,461.0
2016-03-30,801.0,537.0
2016-03-31,750.0,526.0
2016-04-01,710.0,351.0
2016-04-04,647.0,461.0
2016-04-05,783.0,501.0
2016-04-06,757.0,516.0
2016-04-07,725.0,475.0
2016-04-08,683.0,370.0
2016-04-11,646.0,446.0
2016-04-12,780.0,495.0
2016-04-13,753.0,523.0
